1;2018-06-04T22:00:05.70Z;Service started
2;2018-06-04T22:00:05.71Z;onGpsStatusChanged;1
3;2018-06-04T22:00:06.79Z;onGpsStatusChangedStatus;8/28
4;2018-06-04T22:00:07.79Z;onGpsStatusChangedStatus;0/28
5;2018-06-04T22:00:08.79Z;onGpsStatusChangedStatus;0/29
6;2018-06-04T22:00:08.83Z;onLocationChanged;Location[gps 48,119906,11,571000 hAcc=26 et=+14d12h31m0s118ms alt=578.542236328125 vel=0.0 vAcc=32 sAcc=1 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
7;2018-06-04T22:00:08.84Z;onStatusChanged;1
8;2018-06-04T22:00:08.84Z;onGpsStatusChanged;3
9;2018-06-04T22:00:09.81Z;onLocationChanged;Location[gps 48,119904,11,571002 hAcc=13 et=+14d12h31m1s119ms alt=578.9608154296875 vel=0.0 vAcc=16 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10;2018-06-04T22:00:09.82Z;onStatusChanged;2
11;2018-06-04T22:00:09.83Z;onGpsStatusChangedStatus;13/29
12;2018-06-04T22:00:10.79Z;onGpsStatusChangedStatus;13/29
13;2018-06-04T22:00:10.81Z;onLocationChanged;Location[gps 48,119898,11,571003 hAcc=10 et=+14d12h31m2s118ms alt=579.8974609375 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
14;2018-06-04T22:00:10.82Z;onStatusChanged;2
15;2018-06-04T22:00:11.79Z;onGpsStatusChangedStatus;13/29
16;2018-06-04T22:00:11.83Z;onLocationChanged;Location[gps 48,119894,11,571003 hAcc=9 et=+14d12h31m3s129ms alt=580.054443359375 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
17;2018-06-04T22:00:11.83Z;onStatusChanged;2
18;2018-06-04T22:00:12.79Z;onGpsStatusChangedStatus;13/29
19;2018-06-04T22:00:12.81Z;onLocationChanged;Location[gps 48,119890,11,571006 hAcc=9 et=+14d12h31m4s125ms alt=580.1500244140625 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
20;2018-06-04T22:00:12.82Z;onStatusChanged;2
21;2018-06-04T22:00:13.79Z;onGpsStatusChangedStatus;13/29
